Subject,Actual_Contracted,Auto_Assignable,Opps_Responded,Assigns
10th Grade AP English,2,0,7,0
10th Grade AP English Language,2,0,7,0
10th Grade AP English Literature,1,0,0,0
10th Grade Algebra,1,0,3,2
10th Grade Chemistry,1,1,7,1
10th Grade English,2,0,7,0
10th Grade Literature,1,0,0,0
10th Grade Physics,1,0,7,1
10th Grade Science,2,0,10,3
10th Grade Writing,2,0,15,3
11th Grade AP English,2,0,7,0
11th Grade AP English Language,1,0,0,0
11th Grade AP English Literature,1,0,0,0
11th Grade Algebra,1,0,3,2
11th Grade English,2,0,7,0
11th Grade Physics,1,0,7,1
11th Grade Writing,2,0,15,3
12th Grade Calculus,1,0,3,2
12th Grade English,1,0,7,0
12th Grade Writing,2,1,15,3
1st Grade English,1,0,2,2
1st Grade Reading,1,0,2,1
1st Grade Vocabulary,1,0,2,1
2nd Grade,1,0,2,1
2nd Grade English,1,0,2,2
3rd Grade Homework,1,0,2,1
6th Grade Physics,1,0,7,1
8th Grade Physics,1,0,7,1
9th Grade Chemistry,1,0,7,1
9th Grade Writing,1,0,8,3
ACCUPLACER,3,3,13,7
ACCUPLACER College-Level Math,2,2,6,4
ACCUPLACER QAS,2,2,6,4
ACCUPLACER WritePlacer,1,1,6,4
ACCUPLACER Writing,2,2,13,7
ACT,9,3,53,16
ACT English,4,1,16,3
ACT Reading,3,1,8,3
ACT Science,2,1,0,0
ACT Writing,2,1,8,3
ANCC,1,1,0,0
ANCC - Psychiatric-Mental Health Nurse Practitioner (Across the Lifespan) Certification (PMHNP),1,1,0,0
AP Biology,16,10,138,44
AP Calculus AB,9,1,33,11
AP Calculus BC,4,1,10,1
AP Chemistry,10,4,48,27
AP Computer Science A,3,1,8,1
AP Computer Science Principles,1,0,0,0
AP English Language and Composition,23,8,171,24
AP English Literature and Composition,17,1,50,9
AP Environmental Science,6,3,6,3
AP European History,4,0,2,2
AP Human Geography,3,0,0,0
AP Macroeconomics,2,0,1,0
AP Music Theory,2,0,0,0
AP Physics 1,3,1,3,1
AP Physics 2,2,0,0,0
AP Physics C: Mechanics,1,0,0,0
AP Pre-Calculus,18,3,142,31
AP Psychology,8,2,109,16
AP Research,4,2,0,0
AP Spanish Language & Culture,4,0,1,0
AP Statistics,6,3,141,23
AP U.S. Government & Politics,9,3,10,1
AP US History,12,1,2,2
AP World History,6,0,2,2
ARDMS - RDMS - Obstetrics and Gynecology  (OB/GYN),1,0,2,2
ASVAB,1,0,0,0
Academic Coaching,2,0,8,0
Academic Counseling,1,0,7,0
Accounting,1,1,0,0
Administrative Law,4,0,2,1
Admissions,8,6,17,4
Adobe Illustrator,1,1,1,1
Adult ESL/ELL,11,4,6,4
Adult Literacy,12,1,12,2
Adult Reading and Writing,1,0,8,3
Advanced Accounting,1,1,0,0
Agribusiness,1,0,2,2
Agricultural Science,1,0,2,2
Algebra,44,16,315,61
Algebra 2,18,6,209,36
American Government,2,1,9,1
American Sign Language,2,2,0,0
Anatomy & Physiology,9,4,25,21
Arabic,1,0,15,9
Argumentative Writing,1,0,8,3
Art,7,6,3,2
Artificial Intelligence (AI),2,0,10,5
Autocad,1,0,0,0
BCABA,1,1,0,0
Bar Exam,1,0,0,0
Basic Computer Literacy,9,2,6,4
Basic Medical Terminology,1,0,2,2
Biochemistry,8,3,49,25
Biology,20,18,158,53
Biomedical Engineering,4,1,53,5
