Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Middle School Math,98.0,35.0,118.0,-64.0,438.0,277,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,,61.0,10313.0,4129.0,40.0,On Track (Low Util),Middle School
High School Chemistry,15.0,39.0,18.0,158.0,-166.0,39,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,14.0,28.0,1646.0,823.0,50.0,True Supply Problem,High School
Elementary School Math,120.0,24.0,144.0,-80.0,672.0,500,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,,57.0,12159.0,4837.0,40.0,On Track (Low Util),Elementary
SAT,11.0,36.0,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,15.0,33.0,1145.0,742.0,65.0,True Supply Problem,Test Prep
Pre-Calculus,25.0,28.0,30.0,13.0,-23.0,88,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,22.0,18.0,20.0,37.0,39.0,37.0,17.0,16.0,2965.0,1509.0,51.0,On Track,High School
Elementary School Reading,109.0,25.0,131.0,-77.0,588.0,436,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,,38.0,9933.0,3409.0,34.0,On Track (Low Util),Elementary
Algebra 2,34.0,24.0,41.0,-30.0,71.0,143,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,28.0,15.0,3073.0,1601.0,52.0,On Track,High School
Algebra,53.0,18.0,64.0,-66.0,246.0,297,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,,30.0,5869.0,2958.0,50.0,On Track,High School
AP Biology,21.0,17.0,25.0,-17.0,25.0,120,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,13.0,7.0,1502.0,704.0,47.0,On Track (Low Util),AP
College Accounting,5.0,16.0,6.0,217.0,-76.0,32,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,9.0,397.0,203.0,51.0,True Supply Problem,College
Geometry,24.0,19.0,29.0,-22.0,37.0,128,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,15.0,15.0,2765.0,1455.0,53.0,On Track,High School
AP Calculus AB,12.0,18.0,14.0,49.0,-41.0,67,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,12.0,10.0,12.0,25.0,26.0,25.0,14.0,8.0,1343.0,766.0,57.0,True Supply Problem,AP
College Chemistry,9.0,14.0,11.0,57.0,-36.0,64,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,10.0,10.0,776.0,417.0,54.0,True Supply Problem,College
Middle School Reading,92.0,12.0,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,,14.0,6656.0,2380.0,36.0,On Track (Low Util),Middle School
Organic Chemistry,6.0,12.0,7.0,100.0,-42.0,50,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,1.0,9.0,655.0,331.0,51.0,True Supply Problem,College
