Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category
Middle School Math,103.0,35.0,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3295.0,2508.0,55.0,55.1,77.0,down,-22.0,138.0,76.0,On Track,Middle School
High School Chemistry,18.0,39.0,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,747.0,589.0,50.0,50.0,79.8,down,-29.8,24.0,12.0,True Supply Problem,High School
Elementary School Math,130.0,24.0,156.0,-82.0,742.0,542,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4122.0,3082.0,48.0,48.3,75.9,down,-27.7,174.0,84.0,Over-Supplied,Elementary
SAT,11.0,36.0,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,657.0,551.0,81.0,80.6,84.0,down,-3.4,31.0,25.0,True Supply Problem,Test Prep
Pre-Calculus,31.0,28.0,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1417.0,1146.0,63.0,63.3,81.3,down,-17.9,30.0,19.0,On Track,High School
Elementary School Reading,113.0,25.0,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,2974.0,2134.0,39.0,39.5,73.1,down,-33.6,119.0,47.0,Over-Supplied,Elementary
Algebra 2,38.0,24.0,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1462.0,1166.0,61.0,61.2,80.4,down,-19.2,49.0,30.0,On Track,High School
Algebra,62.0,18.0,74.0,-71.0,309.0,347,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2512.0,2000.0,53.0,52.9,80.6,down,-27.6,85.0,45.0,On Track,High School
AP Biology,23.0,17.0,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,612.0,460.0,56.0,56.0,76.0,down,-20.0,25.0,14.0,On Track,AP
College Accounting,7.0,16.0,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,166.0,130.0,38.0,37.5,80.4,down,-42.9,8.0,3.0,Placement Bottleneck,College
Geometry,28.0,19.0,34.0,-33.0,65.0,150,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1306.0,1068.0,61.0,60.7,82.2,down,-21.5,28.0,17.0,On Track,High School
AP Calculus AB,13.0,18.0,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,637.0,529.0,71.0,70.6,83.4,down,-12.8,17.0,12.0,True Supply Problem,AP
College Chemistry,11.0,14.0,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,421.0,333.0,47.0,47.1,80.4,down,-33.4,17.0,8.0,Placement Bottleneck,College
