Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Problem_Type,Category,Tier
Middle School Math,102.0,35.0,122.0,-65.0,466.0,288,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3314.0,2516.0,56.0,55.8,76.8,down,-21.0,138.0,77.0,On Track,Middle School,CORE
High School Chemistry,18.0,39.0,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,754.0,596.0,54.0,54.2,79.9,down,-25.7,24.0,13.0,True Supply Problem,High School,CORE
Elementary School Math,129.0,24.0,155.0,-81.0,735.0,538,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4133.0,3093.0,50.0,50.3,75.9,down,-25.6,171.0,86.0,On Track,Elementary,CORE
SAT,11.0,36.0,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,657.0,554.0,81.0,80.6,84.5,down,-3.9,31.0,25.0,True Supply Problem,Test Prep,CORE
Pre-Calculus,31.0,28.0,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1416.0,1147.0,67.0,66.7,81.3,down,-14.6,30.0,20.0,On Track,High School,CORE
Elementary School Reading,113.0,25.0,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,2989.0,2137.0,41.0,40.8,72.8,down,-31.9,120.0,49.0,Over-Supplied,Elementary,CORE
Algebra 2,38.0,24.0,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1472.0,1170.0,66.0,66.0,80.0,down,-14.0,50.0,33.0,On Track,High School,CORE
Algebra,63.0,18.0,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2522.0,2004.0,56.0,55.8,80.3,down,-24.5,86.0,48.0,On Track,High School,HIGH
AP Biology,23.0,17.0,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,619.0,468.0,56.0,56.0,76.4,down,-20.4,25.0,14.0,On Track,AP,HIGH
College Accounting,7.0,16.0,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,164.0,127.0,38.0,37.5,79.5,down,-42.0,8.0,3.0,Under-Used,College,HIGH
