Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Middle School Math,103.0,35,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3325.0,2524.0,56.0,56.1,76.8,down,-20.7,139.0,78.0,26.188327,0.4248994659836674,Middle School,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
High School Chemistry,18.0,39,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,755.0,597.0,54.0,54.2,79.9,down,-25.7,24.0,13.0,27.71833,0.4172099358521561,High School,CORE,24,Investigate — Capacity Available,['idle_pool'],Under-Used
Elementary School Math,131.0,24,157.0,-82.0,749.0,546,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4143.0,3097.0,50.0,50.3,75.8,down,-25.5,175.0,88.0,28.08333,0.4254521952650088,Elementary,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
SAT,11.0,36,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,662.0,560.0,81.0,80.6,84.8,down,-4.1,31.0,25.0,38.78333,0.4628576420830365,Test Prep,CORE,24,Investigate — Capacity Available,"['idle_pool', 'high_wait']",Under-Used
Pre-Calculus,31.0,28,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1425.0,1153.0,67.0,66.7,81.2,down,-14.6,30.0,20.0,37.15,0.4227534061943936,High School,CORE,24,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Elementary School Reading,113.0,25,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,2990.0,2138.0,42.0,41.7,72.8,down,-31.1,120.0,50.0,31.65,0.431706051029725,Elementary,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Algebra 2,38.0,24,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1482.0,1176.0,66.0,66.0,79.8,down,-13.8,50.0,33.0,38.51666,0.4326348891680504,High School,CORE,24,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Algebra,63.0,18,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2538.0,2015.0,56.0,55.8,80.2,down,-24.4,86.0,48.0,26.239997,0.4263230903604409,High School,HIGH,36,On Track,['idle_pool'],On Track
AP Biology,23.0,17,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,618.0,470.0,62.0,61.5,76.7,down,-15.2,26.0,16.0,38.29,0.4116480305495188,AP,HIGH,36,Investigate — Wait Times,['idle_pool'],On Track — High Wait
College Accounting,7.0,16,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,166.0,128.0,33.0,33.3,79.6,down,-46.3,9.0,3.0,26.81666,0.4769345810226406,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
Geometry,29.0,19,35.0,-35.0,72.0,155,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,28.0,29.0,28.0,23.0,,,,,,,15.0,15.0,1316.0,1073.0,66.0,65.5,81.9,down,-16.4,29.0,19.0,28.216664,0.4439332163947344,High School,HIGH,36,On Track,['idle_pool'],On Track
AP Calculus AB,13.0,18,16.0,37.0,-34.0,73,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,13.0,10.0,12.0,25.0,26.0,25.0,15.0,,,,,,,14.0,8.0,634.0,527.0,71.0,70.6,83.5,down,-12.9,17.0,12.0,40.48333,0.4346246907498378,AP,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
College Chemistry,11.0,14,13.0,29.0,-22.0,78,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,17.0,18.0,17.0,14.0,,,,,,,10.0,10.0,435.0,345.0,50.0,50.0,80.6,down,-30.6,18.0,9.0,26.691661,0.444437715990605,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
Middle School Reading,92.0,12,110.0,-87.0,558.0,749,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,,,,,,,,14.0,2182.0,1562.0,47.0,47.2,72.9,down,-25.6,108.0,51.0,27.4,0.4414696870860558,Middle School,HIGH,36,On Track,['idle_pool'],On Track
Organic Chemistry,9.0,12,11.0,33.0,-21.0,75,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,15.0,16.0,15.0,11.0,,,,,,,1.0,9.0,304.0,248.0,100.0,100.0,81.4,up,18.6,3.0,3.0,25.179994,0.4463619064027939,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
