Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Primary_Action,Stress_Flags,Problem_Type
Middle School Math,103.0,35,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3340.0,2535.0,56.0,55.6,76.8,down,-21.2,142.0,79.0,13.0,363.0,61.0,26.124995,42.61466398612847,Middle School,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
High School Chemistry,18.0,39,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,759.0,599.0,52.0,52.0,79.8,down,-27.8,25.0,13.0,4.0,141.0,37.0,27.49833,41.829357230946314,High School,CORE,24,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Elementary School Math,131.0,24,157.0,-82.0,749.0,546,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4155.0,3103.0,50.0,50.0,75.8,down,-25.8,180.0,90.0,20.0,237.0,36.0,28.11666,42.62251422694678,Elementary,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
SAT,11.0,36,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,664.0,561.0,81.0,80.6,84.7,down,-4.0,31.0,25.0,3.0,76.0,28.0,38.7,46.30721803666921,Test Prep,CORE,24,Recruit More,"['idle_pool', 'high_wait', 'paper_supply']",True Supply Problem
Pre-Calculus,31.0,28,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1429.0,1156.0,67.0,66.7,81.2,down,-14.5,30.0,20.0,2.0,139.0,27.0,37.15,42.33447801495511,High School,CORE,24,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Elementary School Reading,113.0,25,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,2999.0,2141.0,41.0,40.7,72.7,down,-32.1,123.0,50.0,17.0,106.0,19.0,31.65,43.1878528437262,Elementary,CORE,24,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Algebra 2,38.0,24,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1486.0,1179.0,66.0,66.0,79.8,down,-13.8,50.0,33.0,4.0,189.0,31.0,38.51666,43.36175300814432,High School,CORE,24,Investigate — Wait Times,"['idle_pool', 'high_wait']",On Track — High Wait
Algebra,63.0,18,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2550.0,2021.0,53.0,53.3,80.2,down,-26.9,90.0,48.0,13.0,286.0,53.0,26.20333,42.75234446536773,High School,HIGH,36,On Track,['idle_pool'],On Track
AP Biology,23.0,17,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,622.0,471.0,57.0,57.1,76.6,down,-19.5,28.0,16.0,8.0,131.0,39.0,38.29,41.06668159216318,AP,HIGH,36,Investigate — Wait Times,['idle_pool'],On Track — High Wait
College Accounting,7.0,16,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,168.0,129.0,33.0,33.3,79.2,down,-45.9,9.0,3.0,,,,26.81666,47.4616775958365,College,HIGH,36,Investigate — Capacity Available,['idle_pool'],Under-Used
