Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Apr_ManualOverride,May_ManualOverride,Jun_ManualOverride,Jul_ManualOverride,Aug_ManualOverride,Sep_ManualOverride,Oct_ManualOverride,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Util_Rate_Current,Util_Rate_Trailing,Util_Trend,Util_Trend_Delta,Util_Recent_Contracted,Util_Recent_Utilized,Auto_Assignable,Opps_Responded,Assigns,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours,Tutor_Hours_Util_Pct,Category,Tier,P90_Goal,Median_Goal,Tail_Ratio,IQR_Hours,Wait_State,Primary_Action,Stress_Flags,Problem_Type
Middle School Math,103.0,35,124.0,-66.0,473.0,291,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,,,,,,,,61.0,3355.0,2539.0,53.0,52.6,76.8,down,-24.1,152.0,80.0,27.0,393.0,73.0,0.03333,5.124995,15.4625,24.92666,42.84827983567831,Middle School,CORE,24,12,4.86,15.43,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
High School Chemistry,18.0,39,22.0,115.0,-145.0,46,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,33.0,32.0,46.0,46.0,46.0,36.0,,,,,,,14.0,28.0,766.0,603.0,52.0,51.7,79.8,down,-28.1,29.0,15.0,9.0,164.0,44.0,2.66666,7.23333,17.76666,25.649996,42.02400041676882,High School,CORE,24,12,3.55,15.1,Tail_Risk,Recruit More,"['idle_pool', 'paper_supply']",True Supply Problem
Elementary School Math,131.0,24,157.0,-82.0,749.0,546,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,,,,,,,,57.0,4178.0,3110.0,47.0,47.4,75.8,down,-28.3,194.0,92.0,35.0,257.0,43.0,0.01666,5.08333,18.75833,24.866662,42.85148503992455,Elementary,CORE,24,12,4.89,18.74,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
SAT,11.0,36,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,30.0,32.0,30.0,44.0,45.0,44.0,28.0,,,,,,,15.0,33.0,662.0,559.0,82.0,81.8,84.6,flat,-2.8,33.0,27.0,5.0,100.0,37.0,5.4708275,14.93333,24.0,39.45,46.69567289267149,Test Prep,CORE,24,12,2.64,18.53,Crisis,Recruit More,"['idle_pool', 'high_wait', 'paper_supply']",True Supply Problem
Pre-Calculus,31.0,28,37.0,-9.0,19.0,110,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,37.0,39.0,37.0,26.0,,,,,,,17.0,16.0,1433.0,1158.0,62.0,62.5,81.2,down,-18.7,32.0,20.0,4.0,161.0,36.0,5.86666,11.01666,19.699995,26.6,42.59834502623214,High School,CORE,24,12,2.41,13.83,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Elementary School Reading,113.0,25,136.0,-78.0,616.0,452,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,,,,,,,,38.0,3012.0,2148.0,39.0,38.6,72.8,down,-34.2,127.0,49.0,23.0,113.0,22.0,1.2,6.06666,18.95,25.28333,43.372245383014366,Elementary,CORE,24,12,4.17,17.75,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Algebra 2,38.0,24,46.0,-37.0,99.0,159,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,35.0,36.0,35.0,29.0,,,,,,,28.0,15.0,1492.0,1181.0,62.0,61.8,79.8,down,-18.0,55.0,34.0,9.0,217.0,39.0,4.58333,9.71666,20.91666,31.693328,43.71400955058638,High School,CORE,24,12,3.26,16.33,Tail_Risk,Investigate — Wait Times,['idle_pool'],On Track — High Wait
Algebra,63.0,18,76.0,-72.0,316.0,353,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,,,,,,,,30.0,2556.0,2022.0,53.0,53.1,80.1,down,-27.0,96.0,51.0,20.0,330.0,67.0,1.18333,6.75833,18.76666,25.19166,42.94345030860921,High School,HIGH,36,12,3.73,17.58,Healthy,On Track,['idle_pool'],On Track
AP Biology,23.0,17,28.0,-24.0,39.0,132,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,21.0,21.0,21.0,16.0,,,,,,,13.0,7.0,625.0,474.0,57.0,56.7,76.8,down,-20.1,30.0,17.0,10.0,141.0,44.0,2.141665,6.28333,15.599995,25.5,41.29956306989944,AP,HIGH,36,12,4.06,13.46,Healthy,On Track,['idle_pool'],On Track
College Accounting,7.0,16,8.0,127.0,-62.0,44,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,17.0,17.0,17.0,18.0,19.0,18.0,5.0,,,,,,,5.0,9.0,170.0,130.0,30.0,30.0,79.4,down,-49.4,10.0,3.0,1.0,0.0,0.0,0.41666,4.93333,11.08333,29.41666,47.19108025082341,College,HIGH,36,12,5.96,10.67,Healthy,Investigate — Capacity Available,['idle_pool'],Under-Used
