Subject,Run_Rate,Smoothed_Target,Max_Capacity,Gap_Pct,Raw_Gap,Coverage_Pct,Needs_External_Levers,BTS_Total,Is_Adjusted,Adjusted_Months,Original_Model_Total,Apr_Original,May_Original,Jun_Original,Jul_Original,Aug_Original,Sep_Original,Oct_Original,Apr_Smoothed,May_Smoothed,Jun_Smoothed,Jul_Smoothed,Aug_Smoothed,Sep_Smoothed,Oct_Smoothed,Mar_Actual,Mar_Forecast,Total_Contracted,Utilized_30d,Util_Rate,Problem_Type,Category
Middle School Math,97.0,35.0,117.0,-64.0,433.0,274,False,248.0,True,['Apr'],248.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,39.0,27.0,24.0,26.0,34.0,45.0,53.0,76.0,61.0,129.0,56.0,43.0,On Track (Low Util),Middle School
High School Chemistry,14.0,39.0,17.0,177.0,-173.0,36,True,271.0,True,['Apr'],268.0,33.0,32.0,31.0,34.0,40.0,47.0,51.0,36.0,32.0,31.0,34.0,40.0,47.0,51.0,14.0,31.0,21.0,9.0,43.0,Possible Placement Issue,High School
Elementary School Math,120.0,24.0,143.0,-80.0,668.0,498,False,168.0,True,['Apr'],132.0,27.0,12.0,8.0,8.0,16.0,26.0,35.0,63.0,12.0,8.0,8.0,16.0,26.0,35.0,101.0,57.0,169.0,66.0,39.0,On Track (Low Util),Elementary
SAT,11.0,36.0,13.0,229.0,-176.0,30,True,253.0,True,['Apr'],252.0,27.0,26.0,30.0,36.0,42.0,45.0,46.0,28.0,26.0,30.0,36.0,42.0,45.0,46.0,15.0,34.0,29.0,18.0,62.0,True Supply Problem,Test Prep
Pre-Calculus,24.0,28.0,29.0,15.0,-26.0,87,False,198.0,True,['Apr'],195.0,23.0,21.0,18.0,20.0,28.0,39.0,46.0,26.0,21.0,18.0,20.0,28.0,39.0,46.0,17.0,24.0,27.0,12.0,44.0,On Track (Low Util),High School
Elementary School Reading,108.0,25.0,130.0,-77.0,584.0,434,False,175.0,True,['Apr'],125.0,21.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,9.0,5.0,5.0,15.0,29.0,41.0,71.0,38.0,137.0,40.0,29.0,On Track (Low Util),Elementary
Algebra 2,34.0,24.0,40.0,-29.0,68.0,140,False,167.0,True,['Apr'],156.0,18.0,12.0,9.0,11.0,22.0,36.0,48.0,29.0,12.0,9.0,11.0,22.0,36.0,48.0,28.0,23.0,43.0,20.0,47.0,On Track (Low Util),High School
Algebra,52.0,18.0,63.0,-66.0,241.0,293,False,125.0,True,['Apr'],110.0,17.0,6.0,3.0,5.0,15.0,27.0,37.0,32.0,6.0,3.0,5.0,15.0,27.0,37.0,47.0,30.0,73.0,30.0,41.0,On Track (Low Util),High School
AP Biology,20.0,17.0,24.0,-12.0,16.0,113,False,122.0,True,['Apr'],121.0,15.0,14.0,14.0,15.0,18.0,21.0,24.0,16.0,14.0,14.0,15.0,18.0,21.0,24.0,13.0,15.0,20.0,6.0,30.0,On Track (Low Util),AP
College Accounting,4.0,16.0,5.0,252.0,-80.0,28,True,111.0,True,['Apr'],121.0,15.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,16.0,17.0,18.0,19.0,18.0,18.0,5.0,11.0,9.0,2.0,22.0,Possible Placement Issue,College
Geometry,23.0,19.0,28.0,-19.0,30.0,123,False,131.0,True,['Apr'],122.0,14.0,9.0,6.0,8.0,17.0,29.0,39.0,23.0,9.0,6.0,8.0,17.0,29.0,39.0,15.0,19.0,26.0,13.0,50.0,On Track,High School
AP Calculus AB,12.0,18.0,14.0,55.0,-44.0,64,True,125.0,True,['Apr'],124.0,14.0,12.0,10.0,12.0,18.0,26.0,32.0,15.0,12.0,10.0,12.0,18.0,26.0,32.0,14.0,14.0,17.0,8.0,47.0,Possible Placement Issue,AP
College Chemistry,9.0,14.0,10.0,62.0,-38.0,62,True,99.0,True,['Apr'],97.0,12.0,11.0,11.0,11.0,14.0,18.0,20.0,14.0,11.0,11.0,11.0,14.0,18.0,20.0,10.0,12.0,14.0,5.0,36.0,Possible Placement Issue,College
Middle School Reading,92.0,12.0,110.0,-87.0,556.0,747,False,86.0,True,['Apr'],81.0,11.0,9.0,8.0,8.0,11.0,15.0,19.0,16.0,9.0,8.0,8.0,11.0,15.0,19.0,63.0,14.0,122.0,38.0,31.0,On Track (Low Util),Middle School
Organic Chemistry,6.0,12.0,7.0,109.0,-44.0,48,True,84.0,True,['Apr'],82.0,9.0,9.0,9.0,9.0,12.0,16.0,18.0,11.0,9.0,9.0,9.0,12.0,16.0,18.0,1.0,8.0,2.0,1.0,50.0,True Supply Problem,College
Executive Functioning,14.0,8.0,17.0,-42.0,41.0,172,False,57.0,True,['Apr'],53.0,9.0,7.0,5.0,5.0,7.0,9.0,11.0,13.0,7.0,5.0,5.0,7.0,9.0,11.0,9.0,12.0,19.0,7.0,37.0,On Track (Low Util),Other
High School Biology,32.0,10.0,39.0,-69.0,156.0,322,False,70.0,True,['Apr'],70.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,9.0,8.0,7.0,7.0,10.0,13.0,16.0,31.0,10.0,47.0,13.0,28.0,On Track (Low Util),High School
Statistics,12.0,12.0,14.0,6.0,-4.0,95,False,85.0,True,['Apr'],83.0,9.0,9.0,8.0,8.0,12.0,17.0,20.0,11.0,9.0,8.0,8.0,12.0,17.0,20.0,12.0,8.0,16.0,10.0,62.0,On Track,College
High School Physics,8.0,10.0,9.0,35.0,-18.0,74,True,71.0,True,['Apr'],70.0,8.0,7.0,6.0,7.0,10.0,14.0,18.0,9.0,7.0,6.0,7.0,10.0,14.0,18.0,6.0,9.0,7.0,3.0,43.0,Possible Placement Issue,High School
