,,,
Subject ID,Subject,Model Goal Tutor Count,Contracted (Subj Assignable)
40,ACT,13,12
109,ACT English,2,2
108,ACT Math,3,3
107,ACT Reading,3,4
106,ACT Science,2,1
779,Adult ESL/ELL,2,8
3285,Advanced Functions,1,0
13,Algebra 2,15,28
479,American Sign Language,1,2
343,AP Biology,7,13
336,AP Calculus AB,8,14
337,AP Calculus BC,3,4
339,AP Chemistry,7,8
817,AP Computer Science Principles,3,2
374,AP Environmental Science,4,0
146,AP French Language and Culture,1,0
378,AP Human Geography,2,2
379,AP Macroeconomics,1,0
375,AP Physics 1,1,5
794,AP Physics C: Mechanics,4,1
1447,AP Pre-Calculus,19,9
372,AP Statistics,1,7
404,AP US History,1,5
382,AP World History,2,3
158,Arabic,2,5
3351,ARRT - Magnetic Resonance Imaging,2,0
1472,Artificial Intelligence (AI),1,1
342,ASVAB,3,0
1490,Autocad,1,2
3178,Autodesk Fusion 360,1,1
159,Biochemistry,4,1
160,Biomedical Engineering,1,1
715,Business Analytics,3,2
716,Business Calculus,3,0
1532,Calculus 1,2,19
4,Calculus 2,1,5
5,Calculus 3,3,1
3286,Calculus and Vectors,2,0
1555,Chemistry 2,1,0
167,CogAT,1,0
719,College Accounting,9,5
168,College Algebra,5,3
782,College Application Essays,1,27
712,College Biology,5,11
725,College Chemistry,10,10
728,College Computer Science,6,6
730,College Economics,3,2
524,College Math,1,1
788,College Physics,1,5
3362,College Statistics,5,2
742,Conversational French,2,3
749,Conversational German,2,0
766,Conversational Italian,2,0
774,Conversational Mandarin,1,1
815,Conversational Spanish,5,16
1621,Corporate Finance,1,1
687,Cost Accounting,1,0
117,DAT,1,1
6,Differential Equations,2,1
180,Electrical and Computer Engineering,1,1
2923,Electronics,1,0
2902,EMT,1,0
37,ESL/ELL,1,14
120,Executive Functioning,5,9
1754,Filmmaking,1,2
86,Finance,1,6
688,Financial Accounting,4,4
186,Finite Mathematics,1,1
189,French 2,1,1
190,French 3,1,1
193,GED,2,10
3370,General Chemistry 2,2,0
194,Genetics,1,3
7,Geometry,15,15
42,GMAT,2,0
546,Graphic Design,3,4
43,GRE,1,0
714,High School Biology,2,31
727,High School Chemistry,28,14
789,High School Physics,2,6
44,HSPT,3,9
798,IB Chemistry,1,0
778,IB Mathematics: Analysis and Approaches,1,0
777,IB Mathematics: Applications and Interpretation,1,0
2676,IBEW,2,0
264,Inorganic Chemistry,1,1
31,Japanese,2,1
32,Korean,1,3
364,Latin 1,1,1
367,Latin 4,1,0
268,Linear Algebra,3,3
471,Linguistics,1,0
47,LSAT,22,2
389,Macroeconomics,2,1
547,Management,1,0
689,Managerial Accounting,3,0
548,Marketing,3,6
3378,Math 3,1,0
49,MCAT,3,2
275,Mechanical Engineering,5,1
19,Microbiology,1,1
74,Microeconomics,2,1
836,Microsoft Excel,1,6
3397,Microsoft Power BI,1,0
113,Multivariable Calculus,2,0
3401,NCLEX-RN,1,4
1299,NPTE,1,2
360,OAT,1,0
18,Organic Chemistry,9,1
3372,Organic Chemistry 2,1,0
3215,PE - Civil - Transportation,2,0
530,Photography,1,0
20,Physical Chemistry,1,0
289,Physical Science,1,0
3375,Physics 2,1,1
773,Portuguese,1,1
294,Pre-Algebra,4,38
10,Pre-Calculus,16,17
468,Probability,1,1
847,Robotics,1,0
50,SAT,33,15
104,SAT Math,4,15
110,SAT Writing and Language,2,10
121,SHSAT,1,8
862,Social Networking,1,0
586,Social Work,2,6
446,Software,1,1
2492,SolidWorks,1,0
673,Spanish 1,1,14
325,Spanish 2,2,5
326,Spanish 3,2,3
327,Spanish 4,1,1
741,Spelling Bee,1,2
330,SSAT- Upper Level,2,12
11,Statistics,9,12
333,Statistics Graduate Level,1,2
618,Structural Engineering,1,0
119,Study Skills And Organization,2,3
858,TEAS,1,0
804,Thermodynamics,1,0
3156,USMLE Step 1,1,1
2612,Vietnamese,1,0
3434,Viral Content Creation,1,0
2628,Wordpress,1,0
