Subject,P25_NAT_Hours,Median_NAT_Hours,P75_NAT_Hours,P90_NAT_Hours
IB Language A: Language and Literature,1.216665,3.924995,19.675,336.96666
Autodesk Fusion 360,25.55416,40.93333,133.766665,288.506662
Google PCA,194.21666,194.21666,194.21666,194.21666
Autodesk Revit,2.1,3.58333,80.38333,164.31666
CDCA,159.5,159.5,159.5,159.5
College and University Admissions,4.56666,48.43333,92.2,143.53333
Robotics,3.60833,6.01666,80.33333,136.66666
Graph Theory and Combinatorics,24.0,74.9,125.8,125.8
GACE,44.3333325,88.33333,124.26666,124.26666
WPPSI,18.11666,21.93333,122.48333,122.48333
Discrete Structures,3.25,62.391665,121.53333,121.53333
PE - Civil - Water Resources and Environmental,119.8,119.8,119.8,119.8
Digital Media,0.949995,16.6,25.26666,115.636662
Neuroscience,4.77083,28.425,47.499995,115.01666
Clinical Psychology,113.76666,113.76666,113.76666,113.76666
Astronomy,18.3916625,71.66666,97.8541625,106.58333
Vibe Coding,103.78333,103.78333,103.78333,103.78333
Data Analysis,17.71666,23.491665,46.9,100.63
WISC IV,100.21666,100.21666,100.21666,100.21666
Science Olympiad,100.11666,100.11666,100.11666,100.11666
Personal Finance,0.21666,0.6,50.091665,99.58333
FRT,3.724995,6.28333,63.216665,97.376666
Blender,3.11666,5.58333,45.6,96.286664
AP Physics C: Electricity and Magnetism,2.3666625,8.2,24.58333,94.683327
Civil and Environmental Engineering,1.81666,23.6,41.18333,93.53333
Software,0.5499975,5.224995,36.9749975,93.05
Thermochemistry,92.85,92.85,92.85,92.85
Competition Math,3.3583275,16.80833,46.80833,91.70333
Business Enterprise,45.916665,69.75,90.6,90.6
Scratch,89.13333,89.13333,89.13333,89.13333
Sketchup,25.712495,49.825,79.4874975,88.53333
PE - Mechanical - HVAC and Refrigeration,18.45416,56.96666,80.204165,87.95
Electrical and Computer Engineering,6.05,24.0,45.499995,87.009994
Microsoft Power BI,0.316665,6.575,38.8833325,85.833331
Real Analysis,38.75833,67.224995,84.86666,84.86666
Music Recording,1.216665,13.53333,68.6124975,83.48333
High School Economics,3.0083325,14.65833,45.649995,82.069998
Polish,2.25833,35.641665,74.2999975,76.53333
Artificial Intelligence (AI),2.7,21.5,40.25,76.31666
Certified ScrumMaster,74.15,74.15,74.15,74.15
