Tutor: Subjects Subject Name - General,Existing Tutors SUM added after Feb 2026,Total New Contracted Last X Months SUM,Contracted average X Months ,Existing Tutor adds after feb ,Total Count Likely Attanable
Elementary School Math,82,645,129.0,82,129
Elementary School Reading,40,561,112.2,40,113
Elementary School Writing,82,531,106.2,82,107
Middle School Math,80,509,101.8,80,102
High School English,64,498,99.6,64,100
Middle School Writing,97,489,97.8,97,98
High School Writing,80,474,94.8,80,95
Elementary School English,84,457,91.4,84,92
Middle School Reading,104,456,91.2,104,92
Middle School English,82,404,80.8,82,81
Creative Writing,19,403,80.6,19,81
Phonics,81,358,71.6,81,72
Elementary School Science,169,310,62.0,169,62
English Grammar and Syntax,26,309,61.8,26,62
Algebra,98,309,61.8,98,62
Middle School Science,150,297,59.4,150,60
Essay Editing,3,279,55.8,3,56
Elementary Social Studies,59,236,47.2,59,48
Pre-Algebra,106,214,42.8,106,43
High School Reading,0,191,38.2,0,39
Algebra 2,99,190,38.0,99,38
Middle School Reading Comprehension,2,183,36.6,2,37
High School Biology,77,175,35.0,77,35
College Application Essays,4,171,34.2,4,35
College English,78,164,32.8,78,33
Middle School Social Studies,68,159,31.8,68,32
Pre-Calculus,36,154,30.8,36,31
AP English Language and Composition,110,148,29.6,110,30
Geometry,60,140,28.0,60,28
Calculus 1,61,136,27.2,61,28
Public Speaking,0,127,25.4,0,26
Trigonometry,77,119,23.8,77,24
Technical Writing,0,118,23.6,0,24
Adult Literacy,1,118,23.6,1,24
ESL/ELL,8,115,23.0,8,23
AP Biology,52,114,22.8,52,23
High School Science,8,106,21.2,8,22
Anatomy & Physiology,28,101,20.2,28,21
Microsoft Office,24,98,19.6,24,20
College and University Admissions,1,95,19.0,1,19
Spanish 1,7,94,18.8,7,19
College Biology,40,91,18.2,40,19
Psychology,36,90,18.0,36,18
Expository Writing,0,89,17.8,0,18
Basic Computer Literacy,1,87,17.4,1,18
High School Chemistry,35,86,17.2,35,18
High School Government,21,86,17.2,21,18
Study Skills And Organization,27,85,17.0,27,17
Conversational Spanish,2,83,16.6,2,17
Earth Science,4,80,16.0,4,16
Drawing,18,76,15.2,18,16
Handwriting,1,76,15.2,1,16
Poetry,0,75,15.0,0,15
Computer Programming,38,73,14.6,38,15
Coding,54,71,14.2,54,15
Executive Functioning,86,71,14.2,86,15
Fiction Writing,0,71,14.2,0,15
Spanish 2,4,68,13.6,4,14
AP English Literature and Composition,9,68,13.6,9,14
Grade 9 Math,26,68,13.6,26,14
SAT Math,11,67,13.4,11,14
Kindergarten Readiness,0,67,13.4,0,14
Academic Coaching,3,66,13.2,3,14
AP Calculus AB,5,64,12.8,5,13
Microsoft Excel,4,63,12.6,4,13
High School World History,12,62,12.4,12,13
Digital Media,0,61,12.2,0,13
Spanish 3,1,60,12.0,1,12
Statistics,60,59,11.8,60,12
Python,5,59,11.8,5,12
AP Chemistry,38,59,11.8,38,12
Grade 10 Math,10,58,11.6,10,12
Medical Terminology,0,58,11.6,0,12
Spanish 4,2,57,11.4,2,12
High School Physics,21,56,11.2,21,12
Nursing,10,56,11.2,10,12
Grade 11 Math,0,55,11.0,0,11
SAT,28,54,10.8,28,11
College Business,12,53,10.6,12,11
Graphic Design,8,52,10.4,8,11
Calculus 2,28,52,10.4,28,11
Microsoft Word,0,52,10.4,0,11
College Computer Science,21,52,10.4,21,11
College Chemistry,51,52,10.4,51,11
High School Level American History,26,50,10.0,26,10
French 1,10,50,10.0,10,10
Cell Biology,1,49,9.8,1,10
Marketing,0,49,9.8,0,10
Adobe Illustrator,8,48,9.6,8,10
Music Theory,14,48,9.6,14,10
AP Physics 1,27,47,9.4,27,10
Presentation Skills,0,46,9.2,0,10
AP Psychology,8,46,9.2,8,10
High School Computer Science,25,45,9.0,25,9
Java,20,45,9.0,20,9
Organic Chemistry,29,45,9.0,29,9
AP U.S. Government & Politics,2,43,8.6,2,9
AP US History,4,43,8.6,4,9
Adult ESL/ELL,1,42,8.4,1,9
PSAT,15,41,8.2,15,9
College Physics,23,41,8.2,23,9
SAT Writing and Language,10,41,8.2,10,9
Special Education,3,39,7.8,3,8
Pharmacology,12,38,7.6,12,8
AP World History,1,37,7.4,1,8
Financial Accounting,11,36,7.2,11,8
AP Pre-Calculus,5,36,7.2,5,8
Biochemistry,18,36,7.2,18,8
AP Computer Science A,24,35,7.0,24,7
ACT,56,35,7.0,56,7
High School Business,20,34,6.8,20,7
Microbiology,0,34,6.8,0,7
GED,2,34,6.8,2,7
NCLEX,2,33,6.6,2,7
Pathophysiology,1,33,6.6,1,7
Photoshop,3,33,6.6,3,7
Data Science,11,33,6.6,11,7
Linear Algebra,17,32,6.4,17,7
Cyber Security,2,32,6.4,2,7
Civics,27,32,6.4,27,7
SSAT- Middle Level,0,31,6.2,0,7
College Accounting,17,31,6.2,17,7
AP Statistics,14,31,6.2,14,7
ACCUPLACER,2,30,6.0,2,6
SSAT- Upper Level,0,30,6.0,0,6
College Algebra,0,30,6.0,0,6
Piano,12,30,6.0,12,6
SQL,14,29,5.8,14,6
High School Economics,11,29,5.8,11,6
Fine arts,0,29,5.8,0,6
SSAT- Elementary Level,0,29,5.8,0,6
Neuroscience,1,29,5.8,1,6
Finance,7,28,5.6,7,6
HSPT,0,28,5.6,0,6
Painting,13,26,5.2,13,6
ISEE- Lower Level,13,26,5.2,13,6
ISEE- Middle Level,11,26,5.2,11,6
Relational Databases,21,26,5.2,21,6
AP Spanish Language & Culture,2,26,5.2,2,6
Elementary Statistics,2,26,5.2,2,6
College Economics,11,25,5.0,11,5
AP Calculus BC,1,25,5.0,1,5
French 2,3,25,5.0,3,5
ISEE- Upper Level,7,24,4.8,7,5
High School Level American Literature,5,24,4.8,5,5
TACHS,0,24,4.8,0,5
ACT Reading,3,24,4.8,3,5
PC Basic Computer Skills,1,24,4.8,1,5
College Math,3,24,4.8,3,5
SHSAT,0,23,4.6,0,5
Genetics,0,23,4.6,0,5
Differential Equations,1,23,4.6,1,5
MCAT,0,23,4.6,0,5
NCLEX-RN,1,22,4.4,1,5
GED Math,16,22,4.4,16,5
Macroeconomics,7,22,4.4,7,5
Applied Mathematics,0,22,4.4,0,5
Managerial Accounting,1,21,4.2,1,5
Math 1,6,21,4.2,6,5
Mac Basic Computer Skills,0,21,4.2,0,5
High School Accounting,22,21,4.2,22,5
Machine Learning,2,21,4.2,2,5
Social Work,14,21,4.2,14,5
Business Writing,1,21,4.2,1,5
AP Microeconomics,0,20,4.0,0,4
ACCUPLACER QAS,1,20,4.0,1,4
ACT Math,5,20,4.0,5,4
HTML,8,20,4.0,8,4
ACT Science,1,20,4.0,1,4
GED Reasoning Through Language Arts,23,19,3.8,23,4
ACT English,7,19,3.8,7,4
Web Development,0,19,3.8,0,4
AP European History,2,19,3.8,2,4
HSPT Math,0,18,3.6,0,4
Environmental Science,10,18,3.6,10,4
Ethics,1,18,3.6,1,4
LSAT,1,18,3.6,1,4
College Statistics,9,18,3.6,9,4
ACCUPLACER College-Level Math,1,17,3.4,1,4
Orton Gillingham,26,17,3.4,26,4
Data Analysis,1,17,3.4,1,4
General Chemistry 2,0,17,3.4,0,4
AP Environmental Science,2,17,3.4,2,4
Conversational French,2,17,3.4,2,4
Artificial Intelligence (AI),0,17,3.4,0,4
AP Computer Science Principles,0,17,3.4,0,4
Guitar,10,17,3.4,10,4
Sculpture,11,17,3.4,11,4
Microeconomics,6,16,3.2,6,4
Philosophy,0,16,3.2,0,4
Mechanical Engineering,2,16,3.2,2,4
French 3,1,16,3.2,1,4
JavaScript,1,16,3.2,1,4
College Political Science,0,16,3.2,0,4
AP Research,0,16,3.2,0,4
Sociology,7,16,3.2,7,4
AP Art History,0,16,3.2,0,4
Web Design,8,16,3.2,8,4
Information Technology,8,16,3.2,8,4
LSAT Logical Reasoning,0,16,3.2,0,4
Calculus 3,1,16,3.2,1,4
IB Extended Essay,0,15,3.0,0,3
Journalism,0,15,3.0,0,3
Anthropology,0,15,3.0,0,3
Data Structures,8,15,3.0,8,3
Grade 11 Physics,2,15,3.0,2,3
ISEE-Middle Level Mathematics Achievement,0,15,3.0,0,3
AP Physics 2,5,15,3.0,5,3
